key	es	en	pt	fr	de	it	ja	ko	zh	ru	ar
menu.edit_config	Editar configuración	Edit Config	Editar configuração	Modifier la configuration	Konfiguration bearbeiten	Modifica configurazione	設定を編集	설정 편집	编辑配置	Изменить конфигурацию	تعديل الإعدادات
menu.restart	Reiniciar	Restart	Reiniciar	Redémarrer	Neu starten	Riavvia	再起動	다시 시작	重启	Перезапуск	إعادة التشغيل
menu.quit	Salir	Quit	Sair	Quitter	Beenden	Esci	終了	종료	退出	Выход	خروج
menu.lock_screen	Bloquear pantalla	Lock Screen	Bloquear tela	Verrouiller l'écran	Bildschirm sperren	Blocca schermo	画面をロック	화면 잠금	锁定屏幕	Заблокировать экран	قفل الشاشة
menu.wallpaper	Fondo	Wallpaper	Papel de parede	Fond d'écran	Hintergrundbild	Sfondo	壁紙	배경화면	壁纸	Обои	الخلفية
menu.sddm_bg	Pantalla de bloqueo	Lockscreen background	Tela de bloqueio	Fond d'écran de verrouillage	Sperrbildschirm-Hintergrund	Sfondo blocco schermo	ロック画面の背景	잠금 화면 배경	锁屏背景	Обои экрана блокировки	خلفية شاشة القفل
menu.terminal	Terminal	Terminal	Terminal	Terminal	Terminal	Terminale	ターミナル	터미널	终端	Терминал	الطرفية
menu.code_editor	Editor de código	Code Editor	Editor de código	Éditeur de code	Code-Editor	Editor di codice	コードエディター	코드 편집기	代码编辑器	Редактор кода	محرر الأكواد
menu.file_manager	Gestor de archivos	File Manager	Gestor de arquivos	Gestionnaire de fichiers	Dateimanager	Gestore file	ファイルマネージャー	파일 관리자	文件管理器	Файловый менеджер	مدير الملفات
menu.web_browser	Navegador web	Web Browser	Navegador web	Navigateur web	Webbrowser	Browser web	ウェブブラウザー	웹 브라우저	网页浏览器	Веб-браузер	متصفح الويب
menu.music	Música	Music	Música	Musique	Musik	Musica	音楽	음악	音乐	Музыка	الموسيقى
menu.wallpapers	Fondos	Wallpapers	Papéis de parede	Fonds d'écran	Hintergrundbilder	Sfondi	壁紙	배경화면	壁纸	Обои	الخلفيات
menu.power_menu	Menú de energía	Power Menu	Menu de energia	Menu d'alimentation	Energiemenü	Menu energia	電源メニュー	전원 메뉴	电源菜单	Меню питания	قائمة الطاقة
extras.error_title	¡Uy, ocurrió un error!	Oops, an error happened!	Ops, ocorreu um erro!	Oups, une erreur s'est produite !	Ups, es ist ein Fehler aufgetreten!	Ops, si è verificato un errore!	おっと、エラーが発生しました！	이런, 오류가 발생했습니다!	糟糕，发生错误了！	Упс, произошла ошибка!	عفوًا، حدث خطأ!
extras.error_title_startup	¡Uy, ocurrió un error al iniciar!	Oops, an error happened during startup!	Ops, ocorreu um erro durante a inicialização!	Oups, une erreur s'est produite au démarrage !	Ups, beim Start ist ein Fehler aufgetreten!	Ops, si è verificato un errore durante l'avvio!	おっと、起動中にエラーが発生しました！	이런, 시작 중에 오류가 발생했습니다!	糟糕，启动时发生错误了！	Упс, произошла ошибка при запуске!	عفوًا، حدث خطأ أثناء بدء التشغيل!
extras.borders_on	Bordes de ventanas activados	Window borders enabled	Bordas de janelas ativadas	Bordures de fenêtres activées	Fensterrahmen aktiviert	Bordi delle finestre attivati	ウィンドウ枠を有効にしました	창 테두리를 활성화했습니다	已启用窗口边框	Рамки окон включены	تم تفعيل حدود النوافذ
extras.borders_off	Bordes de ventanas desactivados	Window borders disabled	Bordas de janelas desativadas	Bordures de fenêtres désactivées	Fensterrahmen deaktiviert	Bordi delle finestre disattivati	ウィンドウ枠を無効にしました	창 테두리를 비활성화했습니다	已禁用窗口边框	Рамки окон выключены	تم تعطيل حدود النوافذ
extras.titlebars_on	Titlebars activados	Titlebars enabled	Barras de título ativadas	Barres de titre activées	Titelleisten aktiviert	Barre del titolo attivate	タイトルバーを有効にしました	제목 표시줄을 활성화했습니다	已启用标题栏	Заголовки окон включены	تم تفعيل أشرطة العناوين
extras.titlebars_off	Titlebars desactivados	Titlebars disabled	Barras de título desativadas	Barres de titre désactivées	Titelleisten deaktiviert	Barre del titolo disattivate	タイトルバーを無効にしました	제목 표시줄을 비활성화했습니다	已禁用标题栏	Заголовки окон выключены	تم تعطيل أشرطة العناوين
extras.windows_count	(%d ventanas)	(%d windows)	(%d janelas)	(%d fenêtres)	(%d Fenster)	(%d finestre)	(ウィンドウ %d 個)	(창 %d개)	(%d 个窗口)	(%d окон)	(نوافذ %d)
sm.network	Red	Network	Rede	Réseau	Netzwerk	Rete	ネットワーク	네트워크	网络	Сеть	الشبكة
sm.bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth
sm.blur	Desenfoque	Blur	Desfoque	Flou	Unschärfe	Sfocatura	ぼかし	흐림	模糊	Размытие	ضبابية
sm.transparency	Transparencia	Transparency	Transparência	Transparence	Transparenz	Trasparenza	透明度	투명도	透明度	Прозрачность	الشفافية
sm.night	Noche	Night	Noite	Nuit	Nacht	Notte	夜	밤	夜间	Ночь	الليل
sm.wallpaper	Fondo de pantalla	Wallpaper	Papel de parede	Fond d'écran	Hintergrundbild	Sfondo	壁紙	배경화면	壁纸	Обои	خلفية الشاشة
sm.volume	Volumen	Volume	Volume	Volume	Lautstärke	Volume	音量	볼륨	音量	Громкость	الصوت
sm.music	Música	Music	Música	Musique	Musik	Musica	音楽	음악	音乐	Музыка	موسيقى
sm.accent	Acento	Accent	Acento	Accent	Akzent	Accento	アクセント	강조 색	强调色	Акцент	اللون المميز
sm.titlebar	Barra de título	Titlebar	Barra de título	Barre de titre	Titelleiste	Barra del titolo	タイトルバー	제목 표시줄	标题栏	Заголовок окна	شريط العنوان
sm.borders	Bordes	Borders	Bordas	Bordures	Rahmen	Bordi	枠線	테두리	边框	Рамки	الحدود
sm.sddm	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM	SDDM
sm.apps	Aplicaciones	Apps	Aplicativos	Applications	Apps	App	アプリ	앱	应用	Приложения	التطبيقات
sm.opencode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode	OpenCode
sm.resources	Recursos	Resources	Recursos	Ressources	Ressourcen	Risorse	リソース	리소스	资源	Ресурсы	الموارد
sm.calculator	Calculadora	Calculator	Calculadora	Calculatrice	Rechner	Calcolatrice	電卓	계산기	计算器	Калькулятор	الآلة الحاسبة
sm.widgets	Widgets	Widgets	Widgets	Widgets	Widgets	Widget	ウィジェット	위젯	小组件	Виджеты	الأدوات
sm.power	Energía	Power	Energia	Alimentation	Energie	Energia	電源	전원	电源	Питание	الطاقة
sm.timezone	Zona horaria	Timezone	Fuso horário	Fuseau horaire	Zeitzone	Fuso orario	タイムゾーン	시간대	时区	Часовой пояс	المنطقة الزمنية
sm.keyboard	Teclado	Keyboard	Teclado	Clavier	Tastatur	Tastiera	キーボード	키보드	键盘	Клавиатура	لوحة المفاتيح
sm.language	Idioma	Language	Idioma	Langue	Sprache	Lingua	言語	언어	语言	Язык	اللغة
sm.clean	Limpiar	Clean	Limpar	Nettoyer	Bereinigen	Pulisci	クリーンアップ	정리	清理	Очистка	تنظيف
tt.uptime	Tiempo activo	Uptime	Tempo ativo	Temps de fonctionnement	Betriebszeit	Tempo di attività	稼働時間	가동 시간	运行时间	Время работы	مدة التشغيل
tt.scanning	Escaneando...	Scanning...	Escaneando...	Analyse...	Scannen...	Scansione...	スキャン中...	스캔 중...	正在扫描...	Сканирование...	جارٍ الفحص...
tt.no_networks	No se encontraron redes	No networks found	Nenhuma rede encontrada	Aucun réseau trouvé	Keine Netzwerke gefunden	Nessuna rete trovata	ネットワークが見つかりません	네트워크를 찾을 수 없습니다	未找到网络	Сети не найдены	لم يتم العثور على شبكات
tt.password_for	Contraseña para:	Password for:	Senha para:	Mot de passe pour :	Passwort für:	Password per:	のパスワード：	의 비밀번호:	的密码：	Пароль для:	كلمة المرور لـ:
tt.password	Contraseña	Password	Senha	Mot de passe	Passwort	Password	パスワード	비밀번호	密码	Пароль	كلمة المرور
tt.enter_hint	[Enter] conectar  [Esc] cancelar	[Enter] connect  [Esc] cancel	[Enter] conectar  [Esc] cancelar	[Entrée] connecter  [Échap] annuler	[Enter] verbinden  [Esc] abbrechen	[Invio] connetti  [Esc] annulla	[Enter] 接続  [Esc] キャンセル	[Enter] 연결  [Esc] 취소	[Enter] 连接  [Esc] 取消	[Enter] подключить  [Esc] отмена	[Enter] اتصال  [Esc] إلغاء
tt.connecting	Conectando...	Connecting...	Conectando...	Connexion...	Verbinde...	Connessione...	接続中...	연결 중...	正在连接...	Подключение...	جارٍ الاتصال...
tt.wifi_error_title	Error de WiFi	WiFi Error	Erro de WiFi	Erreur WiFi	WiFi-Fehler	Errore WiFi	WiFi エラー	WiFi 오류	WiFi 错误	Ошибка WiFi	خطأ WiFi
tt.disconnected	Desconectado	Disconnected	Desconectado	Déconnecté	Getrennt	Disconnesso	切断済み	연결 끊김	已断开	Отключено	غير متصل
tt.err_password_required	Contraseña requerida	Password required	Senha necessária	Mot de passe requis	Passwort erforderlich	Password richiesta	パスワードが必要です	비밀번호가 필요합니다	需要密码	Требуется пароль	كلمة المرور مطلوبة
tt.err_bad_password	Contraseña muy corta o inválida (mín. 8 caracteres)	Password too short or invalid (min. 8 characters)	Senha muito curta ou inválida (mín. 8 caracteres)	Mot de passe trop court ou invalide (min. 8 caractères)	Passwort zu kurz oder ungültig (mind. 8 Zeichen)	Password troppo corta o non valida (min. 8 caratteri)	パスワードが短すぎるか無効です（最低 8 文字）	비밀번호가 너무 짧거나 유효하지 않습니다 (최소 8자)	密码太短或无效（至少 8 个字符）	Пароль слишком короткий или неверный (мин. 8 символов)	كلمة المرور قصيرة جدًا أو غير صالحة (8 أحرف على الأقل)
tt.err_wrong_password	Contraseña incorrecta	Incorrect password	Senha incorreta	Mot de passe incorrect	Falsches Passwort	Password errata	パスワードが正しくありません	비밀번호가 올바르지 않습니다	密码错误	Неверный пароль	كلمة المرور غير صحيحة
tt.err_not_found	Red no encontrada	Network not found	Rede não encontrada	Réseau introuvable	Netzwerk nicht gefunden	Rete non trovata	ネットワークが見つかりません	네트워크를 찾을 수 없습니다	找不到网络	Сеть не найдена	الشبكة غير موجودة
tt.err_not_available	Red no disponible	Network not available	Rede indisponível	Réseau indisponible	Netzwerk nicht verfügbar	Rete non disponibile	ネットワークが利用できません	네트워크를 사용할 수 없습니다	网络不可用	Сеть недоступна	الشبكة غير متاحة
tt.err_no_ssid	No se encontró la red	Network not found	Não foi encontrada a rede	Aucun réseau trouvé	Kein Netzwerk gefunden	Nessuna rete trovata	ネットワークが見つかりませんでした	네트워크를 찾지 못했습니다	未找到网络	Сеть не найдена	لم يتم العثور على الشبكة
tt.err_timeout	Tiempo de conexión agotado	Connection timed out	Tempo de conexão esgotado	Délai de connexion dépassé	Zeitüberschreitung der Verbindung	Tempo di connessione scaduto	接続がタイムアウトしました	연결 시간이 초과되었습니다	连接超时	Истекло время подключения	انتهت مهلة الاتصال
tt.err_unknown	Error de conexión desconocido	Unknown connection error	Erro de conexão desconhecido	Erreur de connexion inconnue	Unbekannter Verbindungsfehler	Errore di connessione sconosciuto	不明な接続エラー	알 수 없는 연결 오류	未知连接错误	Неизвестная ошибка подключения	خطأ اتصال غير معروف
common.error	Error	Error	Erro	Erreur	Fehler	Errore	エラー	오류	错误	Ошибка	خطأ
bl.title	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth
bl.powered	Encendido	On	Ligado	Activé	An	Attivo	オン	켜짐	已开启	Вкл.	مفعّل
bl.power_off	Apagar	Power Off	Desligar	Éteindre	Ausschalten	Spegni	オフ	끄기	关闭	Выключить	إيقاف
bl.powered_off	Apagado	Off	Desligado	Désactivé	Aus	Spento	オフ	꺼짐	已关闭	Выкл.	مُطفأ
bl.power_on	Encender	Power On	Ligar	Activer	Einschalten	Accendi	オン	켜기	开启	Включить	تشغيل
bl.devices	Dispositivos	Devices	Dispositivos	Appareils	Geräte	Dispositivi	デバイス	장치	设备	Устройства	الأجهزة
bl.exit	Salir	Exit	Sair	Quitter	Beenden	Esci	終了	나가기	退出	Выход	خروج
bl.unpaired	(sin emparejar)	(unpaired)	(não pareado)	(non apparié)	(nicht gekoppelt)	(non associato)	(未ペアリング)	(연결 안 됨)	(未配对)	(не сопряжено)	(غير مقترن)
bl.no_devices	Sin dispositivos	No devices	Sem dispositivos	Aucun appareil	Keine Geräte	Nessun dispositivo	デバイスがありません	장치 없음	无设备	Нет устройств	لا توجد أجهزة
bl.back	Atrás	Back	Voltar	Retour	Zurück	Indietro	戻る	뒤로	返回	Назад	رجوع
bl.scan	Escanear	Scan	Escanear	Scanner	Scannen	Scansiona	スキャン	스캔	扫描	Сканировать	مسح
bl.refresh	Refrescar	Refresh	Atualizar	Actualiser	Aktualisieren	Aggiorna	更新	새로고침	刷新	Обновить	تحديث
bl.disconnected	Desconectado de %s	Disconnected from %s	Desconectado de %s	Déconnecté de %s	Getrennt von %s	Disconnesso da %s	%s から切断しました	%s에서 연결 해제됨	已断开与 %s 的连接	Отключено от %s	تم قطع الاتصال بـ %s
bl.pairing	Emparejando con %s...	Pairing with %s...	Emparelhando com %s...	Appairage avec %s...	Koppele mit %s...	Associazione con %s...	%s とペアリング中...	%s 연결 중...	正在与 %s 配对...	Сопряжение с %s...	جارٍ إقران %s...
bl.connecting	Conectando con %s...	Connecting to %s...	Conectando a %s...	Connexion à %s...	Verbinde mit %s...	Connessione a %s...	%s に接続中...	%s에 연결 중...	正在连接 %s...	Подключение к %s...	جارٍ الاتصال بـ %s...
bl.connected	Conectado a %s	Connected to %s	Conectado a %s	Connecté à %s	Verbunden mit %s	Connesso a %s	%s に接続しました	%s에 연결됨	已连接到 %s	Подключено к %s	تم الاتصال بـ %s
bl.connect_failed	Error al conectar con %s	Failed to connect to %s	Falha ao conectar a %s	Échec de la connexion à %s	Verbindung zu %s fehlgeschlagen	Connessione a %s non riuscita	%s への接続に失敗しました	%s에 연결하지 못했습니다	无法连接到 %s	Не удалось подключиться к %s	فشل الاتصال بـ %s
bl.scanning	Escaneando durante 8 segundos...	Scanning for 8 seconds...	Escaneando por 8 segundos...	Analyse pendant 8 secondes...	Scanne für 8 Sekunden...	Scansione per 8 secondi...	8秒間スキャン中...	8초 동안 스캔 중...	正在扫描 8 秒...	Сканирование в течение 8 секунд...	جارٍ المسح لمدة 8 ثوانٍ...
bl.scan_done	Escaneo completo	Scan complete	Escaneamento concluído	Analyse terminée	Scan abgeschlossen	Scansione completata	スキャン完了	스캔 완료	扫描完成	Сканирование завершено	اكتمل المسح
kb.prompt	Distribución del teclado	Keyboard Layout	Layout do teclado	Disposition du clavier	Tastaturlayout	Layout tastiera	キーボードレイアウト	키보드 레이아웃	键盘布局	Раскладка клавиатуры	تخطيط لوحة المفاتيح
kb.layout_changed	Teclado cambiado	Keyboard changed	Teclado alterado	Clavier modifié	Tastatur geändert	Tastiera modificata	キーボードを変更しました	키보드 변경됨	键盘已更改	Раскладка изменена	تم تغيير لوحة المفاتيح
kb.layout_current	Layout: %s (sesión actual)	Layout: %s (current session)	Layout: %s (sessão atual)	Disposition : %s (session actuelle)	Layout: %s (aktuelle Sitzung)	Layout: %s (sessione attuale)	レイアウト: %s（現在のセッション）	레이아웃: %s (현재 세션)	布局：%s（当前会话）	Раскладка: %s (текущая сессия)	التخطيط: %s (الجلسة الحالية)
kb.layout_saved	Teclado guardado	Keyboard saved	Teclado salvo	Clavier enregistré	Tastatur gespeichert	Tastiera salvata	キーボードを保存しました	키보드 저장됨	键盘已保存	Раскладка сохранена	تم حفظ لوحة المفاتيح
kb.layout_saved_perm	Layout: %s guardado permanentemente	Layout: %s saved permanently	Layout: %s salvo permanentemente	Disposition : %s enregistrée définitivement	Layout: %s dauerhaft gespeichert	Layout: %s salvato definitivamente	レイアウト: %s を永続的に保存しました	레이아웃: %s 영구 저장됨	布局：%s 已永久保存	Раскладка: %s сохранена навсегда	التخطيط: %s محفوظ بشكل دائم
kb.save_failed	No se pudo guardar permanentemente	Failed to save permanently	Não foi possível salvar permanentemente	Échec de l'enregistrement définitif	Konnte nicht dauerhaft gespeichert werden	Impossibile salvare definitivamente	永続的に保存できませんでした	영구 저장하지 못했습니다	无法永久保存	Не удалось сохранить навсегда	تعذر الحفظ بشكل دائم
lc.prompt	Idioma	Language	Idioma	Langue	Sprache	Lingua	言語	언어	语言	Язык	اللغة
lc.updated_title	Locale actualizado	Locale updated	Locale atualizado	Locale mis à jour	Locale aktualisiert	Locale aggiornato	ロケールを更新しました	로케일 업데이트됨	区域设置已更新	Локаль обновлена	تم تحديث اللغة
lc.updated_body	Idioma: %s\nReiniciando awesome...	Language: %s\nRestarting awesome...	Idioma: %s\nReiniciando awesome...	Langue : %s\nRedémarrage d'awesome...	Sprache: %s\nAwesome wird neu gestartet...	Lingua: %s\nRiavvio di awesome...	言語: %s\nawesome を再起動しています...	언어: %s\nawesome 재시작 중...	语言：%s\n正在重启 awesome...	Язык: %s\nПерезапуск awesome...	اللغة: %s\nإعادة تشغيل awesome...
lc.error_failed	No se pudo cambiar el locale	Failed to change the locale	Não foi possível alterar o locale	Échec du changement de locale	Locale konnte nicht geändert werden	Impossibile cambiare il locale	ロケールを変更できませんでした	로케일을 변경하지 못했습니다	无法更改区域设置	Не удалось изменить локаль	تعذر تغيير اللغة
tz.prompt	Zona Horaria	Time Zone	Fuso horário	Fuseau horaire	Zeitzone	Fuso orario	タイムゾーン	시간대	时区	Часовой пояс	المنطقة الزمنية
tz.updated_title	Hora actualizada	Time updated	Hora atualizada	Heure mise à jour	Zeit aktualisiert	Ora aggiornata	時刻を更新しました	시간 업데이트됨	时间已更新	Время обновлено	تم تحديث الوقت
tz.updated_body	Zona horaria: %s	Time zone: %s	Fuso horário: %s	Fuseau horaire : %s	Zeitzone: %s	Fuso orario: %s	タイムゾーン: %s	시간대: %s	时区：%s	Часовой пояс: %s	المنطقة الزمنية: %s
tz.error_failed	No se pudo cambiar la zona horaria	Failed to change the time zone	Não foi possível alterar o fuso horário	Échec du changement de fuseau horaire	Zeitzone konnte nicht geändert werden	Impossibile cambiare il fuso orario	タイムゾーンを変更できませんでした	시간대를 변경하지 못했습니다	无法更改时区	Не удалось изменить часовой пояс	تعذر تغيير المنطقة الزمنية
tz.frequent	Frecuentes	Frequent	Frequentes	Fréquents	Häufige	Frequenti	よく使う	자주 사용	常用	Частые	المتكررة
co.title	Limpieza	Cleanup	Limpeza	Nettoyage	Bereinigung	Pulizia	クリーンアップ	정리	清理	Очистка	تنظيف
co.none	No hay paquetes huérfanos	No orphaned packages	Nenhum pacote órfão	Aucun paquet orphelin	Keine verwaisten Pakete	Nessun pacchetto orfano	孤立したパッケージはありません	고아 패키지 없음	没有孤立软件包	Нет осиротевших пакетов	لا توجد حزم يتيمة
co.yes	Sí	Yes	Sim	Oui	Ja	Sì	はい	예	是	Да	نعم
co.no	No	No	Não	Non	Nein	No	いいえ	아니요	否	Нет	لا
co.confirm	Eliminar %s huérfanos?	Remove %s orphaned packages?	Eliminar %s pacotes órfãos?	Supprimer %s paquets orphelins ?	%s verwaiste Pakete entfernen?	Rimuovere %s pacchetti orfani?	%s 個の孤立パッケージを削除しますか？	%s개의 고아 패키지를 삭제할까요?	删除 %s 个孤立软件包？	Удалить %s осиротевших пакетов?	إزالة %s حزمة يتيمة؟
co.list_title	Paquetes a eliminar:	Packages to remove:	Pacotes a remover:	Paquets à supprimer :	Zu entfernende Pakete:	Pacchetti da rimuovere:	削除するパッケージ:	삭제할 패키지:	要删除的软件包：	Пакеты для удаления:	الحزم المراد إزالتها:
co.done_title	Limpieza completada	Cleanup complete	Limpeza concluída	Nettoyage terminé	Bereinigung abgeschlossen	Pulizia completata	クリーンアップ完了	정리 완료	清理完成	Очистка завершена	اكتمل التنظيف
co.removed	%s paquetes eliminados	%s packages removed	%s pacotes removidos	%s paquets supprimés	%s Pakete entfernt	%s pacchetti rimossi	%s 個のパッケージを削除しました	%s개 패키지 제거됨	已删除 %s 个软件包	Удалено %s пакетов	تمت إزالة %s حزمة
co.error_failed	No se pudieron eliminar los paquetes	Failed to remove the packages	Não foi possível remover os pacotes	Échec de la suppression des paquets	Konnte Pakete nicht entfernen	Impossibile rimuovere i pacchetti	パッケージを削除できませんでした	패키지를 제거하지 못했습니다	无法删除软件包	Не удалось удалить пакеты	تعذرت إزالة الحزم
co.press_enter	Presiona Enter para cerrar...	Press Enter to close...	Pressione Enter para fechar...	Appuyez sur Entrée pour fermer...	Drücke Enter zum Schließen...	Premi Invio per chiudere...	閉じるには Enter キーを押してください...	닫으려면 Enter를 누르세요...	按回车关闭...	Нажмите Enter, чтобы закрыть...	اضغط Enter للإغلاق...
co.remove_all	Quitar todos (%s)	Remove all (%s)	Remover todos (%s)	Tout supprimer (%s)	Alle entfernen (%s)	Rimuovi tutti (%s)	すべて削除 (%s)	모두 제거 (%s)	全部删除 (%s)	Удалить все (%s)	إزالة الكل (%s)
co.confirm_one	¿Eliminar %s?	Remove %s?	Remover %s?	Supprimer %s ?	%s entfernen?	Rimuovere %s?	%s を削除しますか？	%s을(를) 삭제할까요?	删除 %s？	Удалить %s?	إزالة %s?
ns.title	Pantalla	Screen	Tela	Écran	Bildschirm	Schermo	画面	화면	屏幕	Экран	الشاشة
ns.off	Modo no-apagar: DESACTIVADO\nLa pantalla se apagará con inactividad	No-sleep mode: OFF\nThe screen will turn off on inactivity	Modo no-dormir: DESATIVADO\nA tela desligará com inatividade	Mode anti-veille : DÉSACTIVÉ\nL'écran s'éteindra en cas d'inactivité	No-Sleep-Modus: DEAKTIVIERT\nDer Bildschirm wird bei Inaktivität ausgehen	Modalità no-sleep: DISATTIVATA\nLo schermo si spegnerà con l'inattività	スリープなしモード: オフ\n非アクティブで画面が消えます	슬립 방지 모드: 꺼짐\n비활성 상태에서 화면이 꺼집니다	无休眠模式：已关闭\n屏幕将在空闲时熄灭	Режим без сна: ВЫКЛ\nЭкран погаснет при бездействии	وضع عدم السكون: معطّل\nستنطفئ الشاشة عند الخمول
